"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 27, 2021","152.98","154.22","154.25","151.05","9.04M","-0.95%"
"Jul 26, 2021","154.44","154.11","154.71","153.56","4.50M","-0.05%"
"Jul 23, 2021","154.52","153.68","154.59","153.13","6.29M","0.99%"
"Jul 22, 2021","153.00","152.20","153.12","152.20","4.79M","0.74%"
"Jul 21, 2021","151.88","150.37","151.91","150.09","6.12M","0.96%"
"Jul 20, 2021","150.43","148.97","151.26","148.11","7.36M","1.48%"
"Jul 19, 2021","148.23","148.51","148.92","147.37","12.13M","-1.38%"
"Jul 16, 2021","150.30","152.10","152.82","150.15","7.54M","-0.99%"
"Jul 15, 2021","151.80","152.86","152.98","150.99","6.25M","-0.82%"
"Jul 14, 2021","153.06","153.15","153.84","152.39","6.44M","0.74%"
"Jul 13, 2021","151.94","151.07","153.04","150.94","7.60M","0.41%"
"Jul 12, 2021","151.32","151.87","151.87","150.84","4.81M","0.08%"
"Jul 09, 2021","151.20","149.64","151.34","149.42","4.89M","0.92%"
"Jul 08, 2021","149.82","148.80","150.23","148.23","8.54M","-0.95%"
"Jul 07, 2021","151.25","151.51","151.56","150.06","7.44M","0.55%"
"Jul 06, 2021","150.43","150.24","151.14","148.99","5.94M","0.38%"
"Jul 05, 2021","149.86","149.86","149.86","149.86","-","0.00%"
"Jul 04, 2021","149.86","149.86","149.86","149.86","-","0.00%"
"Jul 03, 2021","149.86","149.86","149.86","149.86","-","0.00%"
"Jul 02, 2021","149.86","148.62","150.01","148.58","6.39M","1.32%"
"Jul 01, 2021","147.91","147.55","147.91","146.94","5.82M","0.17%"
"Jun 30, 2021","147.66","147.63","148.01","147.22","5.51M","-0.11%"
"Jun 29, 2021","147.82","146.83","147.89","146.49","4.91M","0.73%"
"Jun 28, 2021","146.75","145.81","146.92","145.81","6.28M","1.05%"
"Jun 25, 2021","145.23","145.53","145.64","144.99","7.19M","-0.12%"
"Jun 24, 2021","145.40","145.47","145.83","145.12","6.14M","0.63%"
"Jun 23, 2021","144.49","144.66","144.99","144.18","4.14M","-0.11%"
"Jun 22, 2021","144.65","143.25","144.73","143.15","4.63M","0.91%"
"Jun 21, 2021","143.35","141.89","143.43","140.97","6.14M","0.89%"
"Jun 18, 2021","142.09","142.71","143.27","141.92","10.41M","-0.91%"
"Jun 17, 2021","143.40","141.35","143.99","141.35","7.93M","1.16%"
"Jun 16, 2021","141.76","142.80","143.07","140.37","9.60M","-0.54%"
"Jun 15, 2021","142.53","143.30","143.30","142.27","7.54M","-0.61%"
"Jun 14, 2021","143.41","142.11","143.42","141.53","5.71M","1.01%"
"Jun 11, 2021","141.97","141.31","141.97","141.18","6.05M","0.60%"
"Jun 10, 2021","141.13","140.39","141.48","139.89","5.64M","0.74%"
"Jun 09, 2021","140.10","140.68","140.92","140.02","4.88M","0.07%"
"Jun 08, 2021","140.00","140.66","141.25","139.61","4.45M","0.01%"
"Jun 07, 2021","139.99","139.90","140.15","139.31","5.89M","-0.02%"
"Jun 04, 2021","140.02","138.22","140.18","138.22","5.59M","1.92%"
"Jun 03, 2021","137.38","137.55","138.10","136.54","6.36M","-0.93%"
"Jun 02, 2021","138.67","138.00","139.23","137.74","5.05M","0.69%"
"Jun 01, 2021","137.72","139.02","139.17","137.47","6.45M","-0.49%"
"May 28, 2021","138.40","138.61","139.20","138.33","4.61M","0.36%"
"May 27, 2021","137.91","138.52","139.09","137.88","5.68M","-0.53%"
"May 26, 2021","138.64","138.85","139.25","138.19","6.66M","-0.01%"
"May 25, 2021","138.65","139.17","139.49","138.34","5.62M","0.03%"
"May 24, 2021","138.61","137.32","139.09","137.25","6.61M","1.78%"
"May 21, 2021","136.19","137.64","137.77","136.06","7.07M","-0.55%"
"May 20, 2021","136.94","134.91","137.40","134.89","8.41M","1.91%"
"May 19, 2021","134.37","131.82","134.47","131.50","15.29M","0.35%"
"May 18, 2021","133.90","135.37","135.65","133.81","5.87M","-0.80%"
"May 17, 2021","134.98","135.18","135.22","133.75","8.13M","-0.74%"
"May 14, 2021","135.98","134.54","136.44","134.28","8.41M","2.20%"
"May 13, 2021","133.05","132.75","134.25","132.16","11.31M","1.33%"
"May 12, 2021","131.31","133.12","133.85","130.96","14.71M","-2.81%"
"May 11, 2021","135.11","132.93","135.39","132.61","13.52M","-0.30%"
"May 10, 2021","135.52","138.36","138.43","135.47","10.14M","-2.52%"
"May 07, 2021","139.03","139.23","139.85","138.43","9.60M","0.86%"
"May 06, 2021","137.85","136.42","137.93","135.44","7.17M","1.00%"
"May 05, 2021","136.48","137.93","138.13","136.22","5.62M","-0.24%"
"May 04, 2021","136.81","138.27","138.31","135.29","9.96M","-1.79%"
"May 03, 2021","139.31","140.45","140.73","138.96","5.40M","-0.28%"
"Apr 30, 2021","139.70","140.19","140.95","139.37","5.29M","-1.36%"
"Apr 29, 2021","141.63","142.91","143.09","140.19","6.71M","-0.08%"
"Apr 28, 2021","141.75","142.25","142.44","141.41","5.35M","-0.93%"
"Apr 27, 2021","143.08","143.66","143.77","142.57","5.41M","-0.24%"
"Apr 26, 2021","143.43","142.75","143.58","142.65","3.87M","0.51%"
"Apr 23, 2021","142.70","140.86","143.15","140.83","4.45M","1.49%"
"Apr 22, 2021","140.60","142.02","142.63","139.98","5.83M","-1.17%"
"Apr 21, 2021","142.27","140.60","142.32","140.21","4.63M","1.01%"
"Apr 20, 2021","140.85","141.81","142.43","140.06","4.94M","-0.89%"
"Apr 19, 2021","142.11","142.66","143.32","141.26","5.13M","-0.83%"
