"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 22, 2021","79.88","79.27","79.99","79.05","4.69M","0.86%"
"Jun 21, 2021","79.20","78.62","79.26","78.28","3.27M","0.79%"
"Jun 18, 2021","78.58","79.13","79.23","78.46","6.19M","-1.17%"
"Jun 17, 2021","79.51","79.10","79.97","79.10","4.56M","0.42%"
"Jun 16, 2021","79.18","80.00","80.00","78.51","4.69M","-0.88%"
"Jun 15, 2021","79.88","80.46","80.55","79.75","3.09M","-0.57%"
"Jun 14, 2021","80.34","79.82","80.34","79.66","2.73M","0.66%"
"Jun 11, 2021","79.81","79.84","79.86","79.44","3.73M","0.11%"
"Jun 10, 2021","79.72","79.42","79.84","79.09","2.47M","0.54%"
"Jun 09, 2021","79.29","79.67","79.85","79.25","5.17M","-0.10%"
"Jun 08, 2021","79.37","79.73","79.77","78.98","3.33M","-0.29%"
"Jun 07, 2021","79.60","79.06","79.63","78.98","3.32M","0.52%"
"Jun 04, 2021","79.19","78.39","79.30","78.27","2.33M","1.43%"
"Jun 03, 2021","78.07","78.03","78.26","77.59","2.81M","-0.67%"
"Jun 02, 2021","78.60","78.99","79.10","78.21","2.78M","-0.30%"
"Jun 01, 2021","78.84","79.08","79.22","78.46","3.30M","0.06%"
"May 28, 2021","78.79","79.23","79.29","78.72","2.83M","-0.33%"
"May 27, 2021","79.05","78.86","79.23","78.72","4.46M","0.38%"
"May 26, 2021","78.75","78.44","79.06","78.33","4.64M","0.65%"
"May 25, 2021","78.24","78.56","78.79","78.09","3.08M","-0.03%"
"May 24, 2021","78.26","77.36","78.45","77.29","3.02M","1.82%"
"May 21, 2021","76.86","77.48","77.50","76.82","4.45M","-0.34%"
"May 20, 2021","77.12","76.09","77.28","76.03","3.50M","1.71%"
"May 19, 2021","75.82","74.57","75.86","74.57","4.94M","0.16%"
"May 18, 2021","75.70","76.43","76.71","75.70","2.44M","-1.02%"
"May 17, 2021","76.48","77.04","77.12","75.98","3.01M","-0.79%"
"May 14, 2021","77.09","76.24","77.24","76.17","3.26M","1.97%"
"May 13, 2021","75.60","75.54","76.26","75.13","7.71M","0.72%"
"May 12, 2021","75.06","75.60","76.08","74.84","5.62M","-1.96%"
"May 11, 2021","76.56","75.78","76.75","75.58","9.64M","-0.29%"
"May 10, 2021","76.78","77.79","77.82","76.73","4.04M","-1.92%"
"May 07, 2021","78.28","78.12","78.64","77.91","3.64M","0.76%"
"May 06, 2021","77.69","76.80","77.70","76.58","5.32M","1.17%"
"May 05, 2021","76.79","77.41","77.45","76.69","2.73M","-0.19%"
"May 04, 2021","76.94","77.21","77.45","75.81","6.85M","-0.90%"
"May 03, 2021","77.64","78.36","78.45","77.55","3.86M","-0.53%"
"Apr 30, 2021","78.05","78.15","78.41","77.92","3.82M","-1.36%"
"Apr 29, 2021","79.13","78.81","79.21","78.25","4.82M","2.77%"
"Apr 28, 2021","77.00","77.34","77.84","76.94","3.36M","0.92%"
"Apr 27, 2021","76.30","76.78","76.85","76.23","4.68M","-0.40%"
"Apr 26, 2021","76.61","76.65","76.75","76.44","2.77M","0.21%"
"Apr 23, 2021","76.45","75.90","76.67","75.74","2.74M","1.16%"
"Apr 22, 2021","75.57","76.27","76.44","75.29","3.53M","-0.74%"
"Apr 21, 2021","76.13","75.55","76.14","75.10","7.03M","0.17%"
"Apr 20, 2021","76.00","76.40","76.45","75.44","3.54M","-0.54%"
"Apr 19, 2021","76.41","76.72","77.05","76.01","3.19M","-0.56%"
"Apr 16, 2021","76.84","77.10","77.13","76.55","3.38M","-0.07%"
"Apr 15, 2021","76.89","76.35","77.10","76.34","4.52M","1.28%"
"Apr 14, 2021","75.92","76.58","76.67","75.77","3.94M","-1.03%"
"Apr 13, 2021","76.71","76.78","77.15","76.60","2.89M","0.13%"
"Apr 12, 2021","76.61","76.70","76.74","76.26","2.23M","-0.40%"
"Apr 09, 2021","76.92","76.60","76.97","76.37","2.32M","-0.03%"
"Apr 08, 2021","76.94","77.33","77.39","76.69","2.89M","0.01%"
"Apr 07, 2021","76.93","76.37","77.00","76.37","2.35M","0.77%"
"Apr 06, 2021","76.34","76.02","76.57","75.98","2.52M","0.25%"
"Apr 05, 2021","76.15","75.08","76.25","74.94","3.97M","2.11%"
"Apr 01, 2021","74.58","73.98","74.63","73.98","4.55M","1.72%"
"Mar 31, 2021","73.32","73.12","73.77","73.06","3.86M","0.40%"
"Mar 30, 2021","73.03","73.02","73.19","72.71","2.66M","0.00%"
"Mar 29, 2021","73.03","72.29","73.31","72.04","4.27M","1.02%"
"Mar 26, 2021","72.29","73.13","73.33","71.02","4.20M","-1.09%"
"Mar 25, 2021","73.09","73.03","73.64","72.52","3.85M","-0.49%"
"Mar 24, 2021","73.45","75.24","75.32","73.44","4.26M","-2.52%"
"Mar 23, 2021","75.35","75.61","76.24","75.23","4.29M","-0.74%"
"Mar 22, 2021","75.91","75.49","76.42","75.15","5.23M","0.66%"
"Mar 19, 2021","75.41","74.88","75.80","74.79","9.24M","0.87%"
"Mar 18, 2021","74.76","75.15","75.77","74.71","5.53M","-1.66%"
"Mar 17, 2021","76.02","75.49","76.31","74.75","4.62M","0.01%"
"Mar 16, 2021","76.01","75.63","76.60","75.42","3.80M","1.05%"
"Mar 15, 2021","75.22","74.83","75.25","74.54","3.34M","0.71%"
"Mar 12, 2021","74.69","74.28","74.79","74.04","3.11M","-0.28%"
"Mar 11, 2021","74.90","74.16","75.35","74.07","3.26M","1.89%"
"Mar 10, 2021","73.51","73.90","73.96","73.14","5.70M","0.42%"
"Mar 09, 2021","73.20","73.48","73.83","73.01","8.76M","1.12%"
"Mar 08, 2021","72.39","73.45","73.86","72.34","8.33M","-1.34%"
"Mar 05, 2021","73.37","72.30","73.59","71.39","11.94M","2.34%"
"Mar 04, 2021","71.69","71.81","73.15","70.81","8.57M","-0.18%"
"Mar 03, 2021","71.82","72.77","73.10","71.64","4.72M","-1.43%"
"Mar 02, 2021","72.86","73.42","73.87","72.81","4.60M","-0.74%"
"Mar 01, 2021","73.40","72.52","73.60","72.22","4.20M","2.56%"
